bus_0115.1,bus_0115.2,bus_0115.3,bus_0116.1,bus_0116.2,bus_0116.3,bus_0133.1,bus_0133.2,bus_0133.3,bus_0121.1,bus_0121.2,bus_0121.3,bus_0122.1,bus_0122.2,bus_0122.3,bus_0130.1,bus_0130.2,bus_0130.3,bus_0123.1,bus_0123.2,bus_0123.3,bus_0124.1,bus_0124.2,bus_0124.3,bus_0131.1,bus_0131.2,bus_0131.3,bus_0125.1,bus_0125.2,bus_0125.3,bus_0126.1,bus_0126.2,bus_0126.3,bus_0162.1,bus_0162.2,bus_0162.3,bus_0127.1,bus_0127.2,bus_0127.3,bus_0128.1,bus_0128.2,bus_0128.3,bus_0129.1,bus_0129.2,bus_0129.3,bus_0134_sw.1,bus_0134_sw.2,bus_0134_sw.3,bus_0134.1,bus_0134.2,bus_0134.3,bus_0135.1,bus_0135.2,bus_0135.3,bus_0138.1,bus_0138.2,bus_0138.3,bus_0144.1,bus_0144.2,bus_0144.3,bus_0139.1,bus_0139.2,bus_0139.3,bus_0140.1,bus_0140.2,bus_0140.3,bus_0141.1,bus_0141.2,bus_0141.3,bus_0157_sw.1,bus_0157_sw.2,bus_0157_sw.3,bus_0142.1,bus_0142.2,bus_0142.3,bus_0143.1,bus_0143.2,bus_0143.3,bus_0145.1,bus_0145.2,bus_0145.3,bus_0146.1,bus_0146.2,bus_0146.3,bus_0159_sw.1,bus_0159_sw.2,bus_0159_sw.3,bus_0147.1,bus_0147.2,bus_0147.3,bus_0148.1,bus_0148.2,bus_0148.3,bus_0152.1,bus_0152.2,bus_0152.3,bus_0149.1,bus_0149.2,bus_0149.3,bus_0150.1,bus_0150.2,bus_0150.3,bus_0151.1,bus_0151.2,bus_0151.3,bus_0153.1,bus_0153.2,bus_0153.3,bus_0154_sw.1,bus_0154_sw.2,bus_0154_sw.3,bus_0155_sw.1,bus_0155_sw.2,bus_0155_sw.3,bus_0154.1,bus_0154.2,bus_0154.3,bus_0158.1,bus_0158.2,bus_0158.3,bus_0156.1,bus_0156.2,bus_0156.3,bus_0157.1,bus_0157.2,bus_0157.3,bus_0159.1,bus_0159.2,bus_0159.3,bus_0160.1,bus_0160.2,bus_0160.3,bus_0161.1,bus_0161.2,bus_0161.3,bus_0170.1,bus_0170.2,bus_0170.3,bus_0171.1,bus_0171.2,bus_0171.3,bus_0174.1,bus_0174.2,bus_0174.3,bus_0137.1,bus_0137.2,bus_0137.3,bus_0172.1,bus_0172.2,bus_0172.3,bus_0173.1,bus_0173.2,bus_0173.3,bus_0132.1,bus_0132.2,bus_0132.3
6580.065301,6580.062592,6580.064921,6579.70902,6579.772746,6579.832538,6579.178302,6579.340994,6579.486405,6578.985499,6579.182674,6579.355945,6578.519692,6578.776471,6578.997934,6578.071985,6578.386052,6578.653842,6578.483617,6578.718845,6578.933268,6578.128103,6578.395511,6578.640547,6577.536728,6577.857666,6578.153627,6576.897369,6577.361233,6577.749074,6576.476955,6576.993887,6577.422973,6576.129417,6576.689914,6577.152184,6577.086658,6577.526628,6577.8959,6576.98641,6577.43219,6577.806975,6577.517044,6577.902122,6578.227344,6579.061533,6579.247408,6579.414775,6579.028908,6579.214755,6579.38218,6578.596879,6578.821849,6579.02651,6571.572456,6572.621623,6573.456333,6572.309028,6573.293147,6574.078243,6575.04156,6575.738427,6576.304585,6574.670018,6575.413461,6576.015108,6574.33024,6575.116277,6575.750383,6574.330243,6575.11628,6575.750386,6575.754273,6576.361797,6576.859889,6575.413467,6576.063713,6576.594351,6575.413468,6576.063714,6576.594352,6572.921193,6573.851252,6574.595118,6573.560685,6574.434272,6575.135072,6574.330402,6575.116416,6575.750512,6574.330468,6575.116472,6575.750564,6574.330504,6575.116502,6575.750592,6574.330549,6575.116541,6575.750628,6574.33055,6575.116541,6575.750628,6574.330543,6575.116536,6575.750623,6573.603619,6574.476136,6575.17613,6573.890025,6574.726639,6575.399272,6573.603624,6574.47614,6575.176135,6573.926769,6574.763384,6575.436029,6574.159206,6574.966684,6575.617126,6574.330312,6575.11634,6575.75044,6574.33025,6575.116287,6575.750391,6573.597429,6574.471018,6575.17183,6570.882191,6571.992751,6572.87652,6571.053969,6572.148924,6573.018562,6579.178303,6579.340994,6579.486406,6579.178303,6579.340994,6579.486406,6577.506549,6577.89259,6578.218774,6570.757837,6571.869889,6572.74931,6569.639032,6570.822135,6571.771607,6577.299348,6577.641773,6577.958178,6576.580622,6576.964732,6577.321104
6580.090789,6580.117593,6580.116921,6579.752531,6579.844079,6579.893316,6579.24865,6579.436647,6579.560246,6579.005159,6579.23717,6579.395393,6578.41957,6578.728604,6578.946357,6577.856744,6578.239808,6578.514788,6578.928696,6579.157147,6579.306176,6578.777765,6579.022988,6579.182459,6578.526687,6578.799813,6578.976653,6576.416122,6576.984139,6577.404328,6575.909218,6576.540054,6577.00876,6575.478927,6576.163128,6576.67157,6576.644353,6577.184087,6577.582433,6576.530679,6577.07822,6577.483316,6577.159123,6577.633948,6577.979877,6579.195675,6579.396296,6579.528977,6579.18067,6579.381612,6579.513931,6578.981034,6579.203771,6579.349329,6569.855479,6571.138567,6572.092981,6570.76075,6571.964051,6572.859075,6574.132068,6574.983314,6575.616163,6573.672079,6574.580376,6575.255725,6573.25142,6574.211891,6574.92611,6573.251423,6574.211894,6574.926113,6575.014462,6575.756268,6576.307606,6574.592515,6575.386653,6575.976966,6574.592516,6575.386654,6575.976967,6571.513126,6572.650118,6573.495789,6572.299095,6573.366818,6574.160938,6573.251582,6574.21203,6574.926239,6573.251648,6574.212086,6574.926291,6573.251684,6574.212116,6574.92632,6573.251729,6574.212154,6574.926355,6573.25173,6574.212155,6574.926356,6573.251723,6574.212149,6574.926351,6572.352086,6573.41849,6574.211632,6572.706646,6573.729074,6574.489448,6572.352092,6573.418495,6574.211636,6572.751933,6573.774355,6574.534729,6573.039684,6574.026416,6574.7602,6573.251492,6574.211954,6574.926168,6573.25143,6574.211901,6574.926119,6572.344383,6573.412099,6574.206219,6569.066801,6570.419909,6571.42885,6569.218246,6570.557496,6571.553722,6579.24865,6579.436647,6579.560246,6579.24865,6579.436647,6579.560247,6577.12596,6577.605425,6577.953063,6568.721829,6570.089767,6571.103846,6567.968832,6569.38669,6570.454794,6578.425899,6578.710226,6578.894039,6578.119242,6578.426567,6578.621768
6580.377946,6580.327855,6580.378356,6580.086192,6580.085355,6580.189198,6579.651582,6579.724119,6579.907435,6579.473989,6579.577908,6579.785541,6579.045771,6579.203333,6579.452998,6578.63419,6578.843311,6579.133381,6579.181252,6579.293464,6579.55241,6578.938512,6579.069188,6579.36289,6578.534721,6578.696109,6579.047631,6577.587586,6577.929902,6578.315202,6577.210313,6577.602813,6578.01829,6576.903619,6577.337869,6577.774988,6577.757448,6578.077171,6578.448885,6577.696565,6578.01647,6578.393176,6578.124023,6578.397055,6578.737216,6579.57483,6579.658984,6579.864155,6579.552653,6579.636385,6579.842945,6579.258396,6579.364692,6579.612757,6572.902651,6573.801983,6574.475709,6573.545227,6574.383622,6575.026877,6575.943588,6576.508527,6577.01341,6575.615694,6576.225271,6576.753303,6575.315828,6575.966228,6576.515432,6575.315832,6575.966231,6576.515435,6576.57256,6577.051876,6577.512361,6576.2718,6576.792059,6577.273773,6576.2718,6576.792059,6577.273773,6574.079266,6574.867019,6575.484953,6574.63714,6575.371992,6575.963478,6575.315991,6575.966367,6576.515561,6575.316057,6575.966423,6576.515613,6575.316093,6575.966453,6576.515642,6575.316138,6575.966492,6576.515678,6575.316138,6575.966492,6576.515678,6575.316132,6575.966487,6576.515673,6574.674806,6575.408362,6575.99992,6574.927583,6575.626728,6576.200437,6574.674811,6575.408367,6575.999925,6574.959737,6575.658612,6576.232957,6575.16488,6575.835828,6576.395689,6575.315901,6575.966291,6576.51549,6575.315838,6575.966238,6576.515441,6574.669295,6575.403877,6575.995999,6572.341089,6573.295175,6573.99497,6572.450325,6573.392552,6574.08773,6579.651583,6579.72412,6579.907435,6579.651583,6579.72412,6579.907435,6578.091469,6578.367116,6578.711857,6572.103216,6573.065501,6573.772625,6571.549199,6572.557536,6573.269893,6578.372635,6578.546351,6578.921083,6577.877715,6578.077385,6578.503731
6580.232434,6580.284693,6580.223695,6579.91644,6580.032514,6580.012805,6579.445724,6579.656864,6579.698675,6579.263697,6579.505173,6579.57374,6578.825704,6579.119109,6579.234862,6578.404727,6578.748045,6578.909155,6578.898427,6579.186099,6579.246127,6578.642024,6578.960156,6579.024918,6578.215504,6578.584307,6578.656949,6577.359919,6577.823251,6578.098397,6576.982552,6577.487687,6577.803854,6576.694583,6577.230376,6577.576964,6577.529824,6577.974334,6578.231013,6577.490879,6577.937067,6578.196487,6577.882914,6578.2881,6578.50544,6579.35271,6579.588791,6579.639923,6579.327118,6579.564058,6579.613417,6578.98747,6579.264605,6579.322416,6572.941582,6573.821471,6574.516986,6573.543519,6574.377275,6575.024919,6575.793153,6576.424916,6576.866742,6575.485271,6576.149813,6576.624169,6575.203705,6575.898224,6576.402333,6575.203708,6575.898227,6576.402336,6576.383734,6576.952621,6577.332049,6576.101332,6576.700285,6577.10955,6576.101333,6576.700286,6577.10955,6574.043781,6574.839197,6575.44706,6574.566367,6575.321733,6575.888041,6575.203868,6575.898363,6576.402462,6575.203933,6575.898419,6576.402514,6575.203969,6575.898449,6576.402542,6575.204015,6575.898488,6576.402578,6575.204015,6575.898488,6576.402578,6575.204009,6575.898483,6576.402573,6574.601765,6575.356759,6575.921811,6574.839122,6575.568846,6576.108819,6574.60177,6575.356764,6575.921815,6574.869337,6575.599455,6576.13889,6575.061965,6575.771575,6576.290658,6575.203777,6575.898287,6576.402391,6575.203715,6575.898234,6576.402341,6574.596583,6575.352344,6575.918113,6572.443862,6573.36028,6574.100294,6572.517861,6573.430225,6574.15944,6579.445725,6579.656864,6579.698675,6579.445725,6579.656864,6579.698675,6577.833682,6578.243904,6578.463895,6572.130737,6573.065481,6573.808281,6571.9005,6572.833438,6573.633018,6578.044294,6578.433438,6578.509244,6577.527369,6577.955141,6578.027932
6580.928642,6580.94331,6580.934203,6580.754677,6580.802934,6580.819185,6580.495518,6580.593814,6580.647843,6580.379247,6580.499499,6580.567549,6580.100622,6580.258968,6580.350369,6579.832813,6580.027774,6580.141621,6580.27514,6580.397494,6580.476859,6580.167018,6580.299748,6580.389888,6579.987149,6580.13714,6580.245206,6579.158218,6579.442552,6579.615447,6578.917986,6579.232914,6579.427332,6578.735035,6579.072261,6579.280968,6579.266376,6579.536936,6579.700142,6579.226061,6579.498607,6579.663612,6579.500844,6579.741193,6579.882865,6580.459676,6580.565365,6580.627427,6580.449323,6580.555052,6580.617229,6580.31132,6580.430221,6580.506016,6576.363478,6576.949986,6577.318592,6576.741199,6577.294741,6577.642095,6578.162305,6578.569337,6578.822776,6577.966676,6578.397551,6578.666271,6577.787763,6578.240445,6578.523139,6577.787766,6578.240448,6578.523141,6578.537541,6578.898838,6579.12297,6578.358116,6578.741282,6578.979427,6578.358117,6578.741283,6578.979428,6577.055109,6577.581255,6577.910949,6577.38302,6577.880549,6578.191796,6577.787926,6578.240584,6578.523267,6577.787991,6578.240639,6578.523319,6577.788027,6578.24067,6578.523348,6577.788073,6578.240708,6578.523384,6577.788073,6578.240708,6578.523384,6577.788067,6578.240703,6578.523379,6577.405374,6577.902347,6578.213327,6577.55623,6578.034816,6578.334016,6577.405379,6577.902352,6578.213331,6577.575258,6578.053839,6578.353127,6577.697682,6578.161343,6578.451071,6577.787835,6578.240507,6578.523196,6577.787773,6578.240454,6578.523147,6577.402049,6577.899573,6578.210908,6576.035907,6576.65133,6577.039766,6576.097582,6576.707298,6577.090864,6580.495518,6580.593814,6580.647844,6580.495518,6580.593814,6580.647844,6579.476877,6579.720025,6579.861778,6575.891269,6576.512874,6576.902362,6575.585342,6576.226605,6576.636808,6579.914944,6580.071864,6580.187126,6579.6943,6579.865403,6579.994892
6580.030768,6579.972528,6580.018084,6579.671789,6579.67371,6579.781822,6579.137052,6579.228592,6579.429908,6578.912025,6579.042738,6579.275783,6578.37049,6578.568612,6578.856816,6577.850003,6578.112915,6578.454143,6578.599842,6578.733116,6579.013169,6578.323956,6578.475925,6578.792233,6577.86503,6578.048099,6578.424717,6576.493154,6576.927012,6577.402334,6576.010768,6576.504949,6577.025941,6575.593057,6576.139273,6576.699298,6576.710345,6577.117044,6577.571806,6576.595536,6577.009633,6577.469135,6577.204856,6577.548077,6577.955042,6579.048867,6579.153788,6579.37766,6579.023586,6579.127786,6579.352884,6578.687858,6578.815093,6579.083731,6570.126453,6571.256291,6572.254462,6571.008,6572.060158,6572.999959,6574.285574,6574.994667,6575.676904,6573.839032,6574.603753,6575.32774,6573.43067,6574.246264,6575.008435,6573.430673,6574.246267,6575.008438,6575.142171,6575.744554,6576.346719,6574.73256,6575.38597,6576.026421,6574.732561,6575.38597,6576.026422,6571.74066,6572.728257,6573.619554,6572.506032,6573.426186,6574.266819,6573.430832,6574.246403,6575.008564,6573.430898,6574.246458,6575.008616,6573.430934,6574.246489,6575.008644,6573.430979,6574.246527,6575.00868,6573.430979,6574.246527,6575.00868,6573.430973,6574.246522,6575.008675,6572.557539,6573.476416,6574.316101,6572.901736,6573.777733,6574.58523,6572.557545,6573.47642,6574.316105,6572.945782,6573.821781,6574.629293,6573.225122,6574.066322,6574.847713,6573.430742,6574.246326,6575.008493,6573.43068,6574.246273,6575.008443,6572.550078,6573.470235,6574.310882,6569.339305,6570.538969,6571.591979,6569.505919,6570.690439,6571.729702,6579.137052,6579.228592,6579.429908,6579.137052,6579.228592,6579.429908,6577.187741,6577.531202,6577.941062,6569.064484,6570.274525,6571.329505,6568.13299,6569.40305,6570.519968,6577.680814,6577.876365,6578.277194,6577.119281,6577.338326,6577.793189
6579.961997,6579.8972,6579.972071,6579.600031,6579.593947,6579.731938,6579.060836,6579.142215,6579.374251,6578.810955,6578.934977,6579.203002,6578.213736,6578.412436,6578.743289,6577.639729,6577.910205,6578.301455,6578.647308,6578.755469,6579.055726,6578.442388,6578.561681,6578.89323,6578.101505,6578.239317,6578.622921,6576.152576,6576.609929,6577.151156,6575.588583,6576.115743,6576.709966,6575.097299,6575.685131,6576.32504,6576.406512,6576.832434,6577.349803,6576.35894,6576.79048,6577.310432,6576.928245,6577.287688,6577.753817,6578.993926,6579.084137,6579.335126,6578.97446,6579.063838,6579.316103,6578.715261,6578.819521,6579.109809,6568.693637,6569.965911,6571.118045,6569.721115,6570.901422,6571.985587,6573.559546,6574.337287,6575.120242,6573.034368,6573.876967,6574.708791,6572.554096,6573.456009,6574.332529,6572.554099,6573.456012,6574.332532,6574.567002,6575.220323,6575.909555,6574.08525,6574.798067,6575.532113,6574.085251,6574.798068,6575.532113,6570.575062,6571.678935,6572.706618,6571.467139,6572.491165,6573.459854,6572.554258,6573.456148,6574.332658,6572.554324,6573.456204,6574.33271,6572.55436,6573.456234,6574.332738,6572.554405,6573.456273,6574.332774,6572.554405,6573.456273,6574.332774,6572.554399,6573.456268,6574.332769,6571.52751,6572.549948,6573.517367,6571.932302,6572.904747,6573.834488,6571.527516,6572.549953,6573.517372,6571.983841,6572.956181,6573.885774,6572.31236,6573.244128,6574.143145,6572.554168,6573.456072,6574.332587,6572.554106,6573.456019,6574.332538,6571.518679,6572.542599,6573.51114,6567.82755,6569.178367,6570.391394,6567.970382,6569.307393,6570.507379,6579.060837,6579.142215,6579.374251,6579.060837,6579.142215,6579.374251,6576.891281,6577.253228,6577.724133,6567.343579,6568.716825,6569.939448,6566.790824,6568.209652,6569.483839,6577.96467,6578.109915,6578.514416,6577.54571,6577.704033,6578.15684
6580.459501,6580.379917,6580.433229,6580.180998,6580.145157,6580.251701,6579.766129,6579.79545,6579.981302,6579.635816,6579.684195,6579.891777,6579.321665,6579.402064,6579.649303,6579.019711,6579.130887,6579.416246,6579.101135,6579.187788,6579.455699,6578.751967,6578.864678,6579.170774,6578.171147,6578.327204,6578.696822,6578.25805,6578.445809,6578.82142,6577.990038,6578.202715,6578.606357,6577.761719,6577.995171,6578.422338,6578.378716,6578.555257,6578.918247,6578.325711,6578.507671,6578.874241,6578.645422,6578.794747,6579.127361,6579.655297,6579.703378,6579.913468,6579.624041,6579.671491,6579.88241,6579.209747,6579.288258,6579.54433,6574.782842,6575.241371,6575.944609,6575.261266,6575.691164,6576.355074,6577.046993,6577.345481,6577.84629,6576.802872,6577.123574,6577.649537,6576.579615,6576.920632,6577.4696,6576.579618,6576.920635,6577.469603,6577.515257,6577.771135,6578.223696,6577.291347,6577.567599,6578.043231,6577.291348,6577.5676,6578.043231,6575.658874,6576.064978,6576.696204,6576.074221,6576.455471,6577.052556,6576.579777,6576.920771,6577.469729,6576.579843,6576.920827,6577.469781,6576.579879,6576.920857,6577.469809,6576.579924,6576.920896,6577.469845,6576.579924,6576.920896,6577.469845,6576.579918,6576.920891,6577.46984,6576.102284,6576.483773,6577.07988,6576.290507,6576.654866,6577.231583,6576.10229,6576.483778,6577.079884,6576.314466,6576.679614,6577.255896,6576.467218,6576.818464,6577.37901,6576.579687,6576.920695,6577.469657,6576.579624,6576.920642,6577.469608,6576.098181,6576.48022,6577.076869,6574.370731,6574.850769,6575.592258,6574.446061,6574.924746,6575.65567,6579.766129,6579.795451,6579.981302,6579.766129,6579.795451,6579.981302,6578.619583,6578.770956,6579.107573,6574.176263,6574.670549,6575.410155,6573.817187,6574.292245,6575.095152,6577.938004,6578.11146,6578.506577,6577.230369,6577.43602,6577.885929
6580.23271,6580.264846,6580.240283,6579.928141,6580.01837,6580.034378,6579.474435,6579.651207,6579.727664,6579.281445,6579.491562,6579.591696,6578.823473,6579.091347,6579.232095,6578.383291,6578.70668,6578.886468,6579.038165,6579.269351,6579.378144,6578.833184,6579.086373,6579.20866,6578.492199,6578.781992,6578.926726,6577.232149,6577.698067,6577.979897,6576.788608,6577.30775,6577.628341,6576.408918,6576.973534,6577.326161,6577.431848,6577.873803,6578.138182,6577.401409,6577.846014,6578.11157,6577.837668,6578.229871,6578.45806,6579.401581,6579.595571,6579.683691,6579.381127,6579.575513,6579.663061,6579.109402,6579.332944,6579.437324,6571.48195,6572.556036,6573.268941,6572.267935,6573.274316,6573.939072,6575.220409,6575.927369,6576.380296,6574.814487,6575.570065,6576.057254,6574.443266,6575.243306,6575.761833,6574.44327,6575.243309,6575.761836,6575.999067,6576.612769,6576.99998,6575.626728,6576.285024,6576.703657,6575.626729,6576.285025,6576.703658,6572.921165,6573.871277,6574.496022,6573.603552,6574.494885,6575.077836,6574.443429,6575.243445,6575.761962,6574.443495,6575.243501,6575.762014,6574.443531,6575.243531,6575.762042,6574.443576,6575.24357,6575.762078,6574.443576,6575.24357,6575.762078,6574.44357,6575.243564,6575.762073,6573.649995,6574.540257,6575.122415,6573.962902,6574.815686,6575.371428,6573.65,6574.540261,6575.122419,6574.002465,6574.8553,6575.411036,6574.256409,6575.078828,6575.613128,6574.443339,6575.243369,6575.761891,6574.443276,6575.243316,6575.761841,6573.643116,6574.534499,6575.117445,6570.862366,6571.989872,6572.742689,6570.928677,6572.050423,6572.797225,6579.474436,6579.651207,6579.727664,6579.474436,6579.651207,6579.727665,6577.813982,6578.208788,6578.438091,6570.355804,6571.510666,6572.278226,6570.377629,6571.531146,6572.31256,6578.355322,6578.659809,6578.813554,6577.939691,6578.273628,6578.442028
6580.61437,6580.673908,6580.638148,6580.369997,6580.482208,6580.48079,6580.005963,6580.196641,6580.24639,6579.887421,6580.098355,6580.168383,6579.600607,6579.847389,6579.953266,6579.324928,6579.606166,6579.746503,6579.456924,6579.725623,6579.794294,6579.180603,6579.483138,6579.557867,6578.720951,6579.079776,6579.164585,6578.677989,6579.043581,6579.261549,6578.494091,6578.885072,6579.121838,6578.376814,6578.784302,6579.031765,6578.760783,6579.114945,6579.32445,6578.662406,6579.023117,6579.239858,6578.983207,6579.307154,6579.49021,6579.91273,6580.128578,6580.187969,6579.887048,6580.103831,6580.161471,6579.546265,6579.80418,6579.87056,6576.872659,6577.47514,6577.837543,6577.10885,6577.683376,6578.031791,6578.009649,6578.468813,6578.749765,6577.884225,6578.36104,6578.653431,6577.769513,6578.262472,6578.565325,6577.769516,6578.262475,6578.565328,6578.250211,6578.675518,6578.934529,6578.135186,6578.576682,6578.846184,6578.135187,6578.576682,6578.846185,6577.305133,6577.856427,6578.193218,6577.510163,6578.03719,6578.361839,6577.769675,6578.262611,6578.565454,6577.769741,6578.262667,6578.565506,6577.769777,6578.262698,6578.565534,6577.769822,6578.262736,6578.56557,6577.769823,6578.262736,6578.56557,6577.769816,6578.262731,6578.565565,6577.524402,6578.050604,6578.374841,6577.621155,6578.133743,6578.449162,6577.524407,6578.050609,6578.374846,6577.633225,6578.145362,6578.460637,6577.711741,6578.21283,6578.520949,6577.769585,6578.262535,6578.565383,6577.769523,6578.262482,6578.565333,6577.522234,6578.04881,6578.373316,6576.648355,6577.279072,6577.657067,6576.706387,6577.328548,6577.700799,6580.005963,6580.196641,6580.24639,6580.005964,6580.196642,6580.24639,6578.943321,6579.268854,6579.456509,6576.624577,6577.251384,6577.623814,6576.22451,6576.905491,6577.307124,6578.536442,6578.917863,6579.006719,6577.979658,6578.405285,6578.492199
